Organism,Phylum,Category,GC_Content_pct,Genome_Size_Mb,Class,Subclass,Count,Density_per_Mb
Mycobacterium tuberculosis,Actinobacteria,Pathogen,65.6,4.41,Hybrid,Cruciform_G-Quadruplex_Overlap,1,0.23
Mycobacterium tuberculosis,Actinobacteria,Pathogen,65.6,4.41,i-Motif,AC-motif,2,0.45
Mycobacterium tuberculosis,Actinobacteria,Pathogen,65.6,4.41,Triplex,Sticky DNA,1,0.23
Mycobacterium tuberculosis,Actinobacteria,Pathogen,65.6,4.41,Hybrid,i-Motif_Slipped_DNA_Overlap,4,0.91
Mycobacterium tuberculosis,Actinobacteria,Pathogen,65.6,4.41,Non-B_DNA_Clusters,Mixed_Cluster_5_classes,2,0.45
Mycobacterium tuberculosis,Actinobacteria,Pathogen,65.6,4.41,Hybrid,i-Motif_R-Loop_Overlap,2,0.45
Staphylococcus aureus,Firmicutes,Pathogen,32.9,2.82,G-Quadruplex,Two-tetrad weak PQS,516,182.89
Staphylococcus aureus,Firmicutes,Pathogen,32.9,2.82,Curved_DNA,Global Curvature,968,343.1
Staphylococcus aureus,Firmicutes,Pathogen,32.9,2.82,Curved_DNA,Local Curvature,1354,479.91
Staphylococcus aureus,Firmicutes,Pathogen,32.9,2.82,R-Loop,R-loop formation sites,41,14.53
Staphylococcus aureus,Firmicutes,Pathogen,32.9,2.82,Triplex,Triplex,58,20.56
Staphylococcus aureus,Firmicutes,Pathogen,32.9,2.82,G-Quadruplex,Intramolecular G-triplex,2,0.71
Staphylococcus aureus,Firmicutes,Pathogen,32.9,2.82,Slipped_DNA,Direct Repeat,46,16.3
Staphylococcus aureus,Firmicutes,Pathogen,32.9,2.82,Non-B_DNA_Clusters,Mixed_Cluster_3_classes,3,1.06
Staphylococcus aureus,Firmicutes,Pathogen,32.9,2.82,A-philic_DNA,A-philic DNA,68,24.1
Staphylococcus aureus,Firmicutes,Pathogen,32.9,2.82,Z-DNA,Z-DNA,7,2.48
Staphylococcus aureus,Firmicutes,Pathogen,32.9,2.82,Hybrid,R-Loop_Triplex_Overlap,1,0.35
Staphylococcus aureus,Firmicutes,Pathogen,32.9,2.82,Triplex,Sticky DNA,4,1.42
Staphylococcus aureus,Firmicutes,Pathogen,32.9,2.82,Hybrid,Slipped_DNA_A-philic_DNA_Overlap,1,0.35
Staphylococcus aureus,Firmicutes,Pathogen,32.9,2.82,Cruciform,Cruciform forming IRs,2,0.71
Staphylococcus aureus,Firmicutes,Pathogen,32.9,2.82,Non-B_DNA_Clusters,Mixed_Cluster_4_classes,1,0.35
Staphylococcus aureus,Firmicutes,Pathogen,32.9,2.82,Hybrid,G-Quadruplex_Slipped_DNA_Overlap,1,0.35
